date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:01:31	2942/2942	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a186c0f-b7e%22	https://colorlib.com/etc/dup/js/jquery.nice-select.min.js	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/js/jquery.nice-select.min.js	(from https://colorlib.com/etc/dup/index.html)
01:01:31	20216/20216	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a186c0e-4ef8%22	https://colorlib.com/etc/dup/js/jquery.magnific-popup.min.js	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/js/jquery.magnific-popup.min.js	(from https://colorlib.com/etc/dup/index.html)
01:01:32	1364/1364	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a186c0f-554%22	https://colorlib.com/etc/dup/js/main.js	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/js/main.js	(from https://colorlib.com/etc/dup/index.html)
01:01:33	55820/55820	---M--	200	added ('OK')	application/octet-stream	etag:%225a186c27-da0c%22	https://colorlib.com/etc/dup/fonts/Linearicons-Free.eot?w118d	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/fonts/Linearicons-Free54e9.eot	(from https://colorlib.com/etc/dup/css/linearicons.css)
01:01:33	55820/55820	---M--	200	added ('OK')	application/octet-stream	etag:%225a186c27-da0c%22	https://colorlib.com/etc/dup/fonts/Linearicons-Free.eot?	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/fonts/Linearicons-Freed41d.eot	(from https://colorlib.com/etc/dup/css/linearicons.css)
01:01:35	21780/21780	---M--	200	added ('OK')	application/font-woff2	etag:%225a186c25-5514%22	https://colorlib.com/etc/dup/fonts/Linearicons-Free.woff2?w118d	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/fonts/Linearicons-Free54e9.woff2	(from https://colorlib.com/etc/dup/css/linearicons.css)
01:01:36	55696/55696	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225a186c26-d990%22	https://colorlib.com/etc/dup/fonts/Linearicons-Free.woff?w118d	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/fonts/Linearicons-Free54e9.woff	(from https://colorlib.com/etc/dup/css/linearicons.css)
01:01:36	55620/55620	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%225a186c26-d944%22	https://colorlib.com/etc/dup/fonts/Linearicons-Free.ttf?w118d	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/fonts/Linearicons-Free54e9.ttf	(from https://colorlib.com/etc/dup/css/linearicons.css)
01:01:38	205847/205847	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225a186c25-32417%22	https://colorlib.com/etc/dup/fonts/Linearicons-Free.svg?w118d	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/fonts/Linearicons-Free54e9.svg	(from https://colorlib.com/etc/dup/css/linearicons.css)
01:01:39	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Oct%202018%2019:31:36%20GMT	https://colorlib.com/etc/dup/css/owl.video.play.png	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/css/owl.video.play.png	(from https://colorlib.com/etc/dup/css/owl.carousel.css)
01:01:40	165742/165742	---M--	200	added ('OK')	application/octet-stream	etag:%225a186c28-2876e%22	https://colorlib.com/etc/dup/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/fonts/fontawesome-webfont3e6e.eot	(from https://colorlib.com/etc/dup/css/font-awesome.min.css)
01:01:41	165742/165742	---M--	200	added ('OK')	application/octet-stream	etag:%225a186c28-2876e%22	https://colorlib.com/etc/dup/fonts/fontawesome-webfont.eot?	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/fonts/fontawesome-webfontd41d.eot	(from https://colorlib.com/etc/dup/css/font-awesome.min.css)
01:01:41	77160/77160	---M--	200	added ('OK')	application/font-woff2	etag:%225a186c25-12d68%22	https://colorlib.com/etc/dup/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/fonts/fontawesome-webfont3e6e.woff2	(from https://colorlib.com/etc/dup/css/font-awesome.min.css)
01:01:42	98024/98024	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225a186c27-17ee8%22	https://colorlib.com/etc/dup/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/fonts/fontawesome-webfont3e6e.woff	(from https://colorlib.com/etc/dup/css/font-awesome.min.css)
01:01:43	165548/165548	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%225a186c27-286ac%22	https://colorlib.com/etc/dup/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/fonts/fontawesome-webfont3e6e.ttf	(from https://colorlib.com/etc/dup/css/font-awesome.min.css)
01:01:44	447050/447050	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225a186c24-6d24a%22	https://colorlib.com/etc/dup/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/fonts/fontawesome-webfont3e6e.svg	(from https://colorlib.com/etc/dup/css/font-awesome.min.css)
01:01:44	1207/1207	---M--	200	added ('OK')	image/png	etag:%225a186c3f-4b7%22	https://colorlib.com/etc/dup/img/elements/primary-check.png	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/img/elements/primary-check.png	(from https://colorlib.com/etc/dup/css/main.css)
01:01:45	1189/1189	---M--	200	added ('OK')	image/png	etag:%225a186c3e-4a5%22	https://colorlib.com/etc/dup/img/elements/success-check.png	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/img/elements/success-check.png	(from https://colorlib.com/etc/dup/css/main.css)
01:01:45	1249/1249	---M--	200	added ('OK')	image/png	etag:%225a186c3f-4e1%22	https://colorlib.com/etc/dup/img/elements/disabled-check.png	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/img/elements/disabled-check.png	(from https://colorlib.com/etc/dup/css/main.css)
01:01:46	1209/1209	---M--	200	added ('OK')	image/png	etag:%225a186c3e-4b9%22	https://colorlib.com/etc/dup/img/elements/primary-radio.png	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/img/elements/primary-radio.png	(from https://colorlib.com/etc/dup/css/main.css)
01:01:47	1204/1204	---M--	200	added ('OK')	image/png	etag:%225a186c3e-4b4%22	https://colorlib.com/etc/dup/img/elements/success-radio.png	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/img/elements/success-radio.png	(from https://colorlib.com/etc/dup/css/main.css)
01:01:48	1173/1173	---M--	200	added ('OK')	image/png	etag:%225a186c3f-495%22	https://colorlib.com/etc/dup/img/elements/disabled-radio.png	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/img/elements/disabled-radio.png	(from https://colorlib.com/etc/dup/css/main.css)
01:01:49	117918/117918	---M--	200	added ('OK')	image/jpeg	etag:%225a186c16-1cc9e%22	https://colorlib.com/etc/dup/img/studio-bg.jpg	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/img/studio-bg.jpg	(from https://colorlib.com/etc/dup/css/main.css)
01:01:50	179399/179399	---M--	200	added ('OK')	image/jpeg	etag:%225a186c16-2bcc7%22	https://colorlib.com/etc/dup/img/video-area-bg.jpg	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/img/video-area-bg.jpg	(from https://colorlib.com/etc/dup/css/main.css)
01:01:50	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Oct%202018%2019:31:47%20GMT	https://colorlib.com/etc/dup/img/carousel-bg.jpg	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/img/carousel-bg.jpg	(from https://colorlib.com/etc/dup/css/main.css)
01:01:52	180726/180726	---M--	200	added ('OK')	image/jpeg	etag:%225a186c1d-2c1f6%22	https://colorlib.com/etc/dup/img/f-bg.jpg	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/img/f-bg.jpg	(from https://colorlib.com/etc/dup/css/main.css)
01:01:53	4784/4784	---M--	200	added ('OK')	image/jpeg	etag:%225a186c20-12b0%22	https://colorlib.com/etc/dup/img/a.jpg	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/img/a.jpg	(from https://colorlib.com/etc/dup/generic.html)
01:01:53	302400/302400	---M--	200	added ('OK')	image/jpeg	etag:%225a186c15-49d40%22	https://colorlib.com/etc/dup/img/g-bg.jpg	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/img/g-bg.jpg	(from https://colorlib.com/etc/dup/css/main.css)
01:01:54	17427/17427	---M--	200	added ('OK')	image/jpeg	etag:%225a186c15-4413%22	https://colorlib.com/etc/dup/img/a2.jpg	C:/Users/Ashi%20Khare/Desktop/New%20folder/webb/colorlib.com/etc/dup/img/a2.jpg	(from https://colorlib.com/etc/dup/generic.html)
